nsb,Timestamp_UTC,site,lat,lon,elev,d2m,t2m,sp,hcc,mcc,lcc,sun_alt,sun_az,moon_alt,moon_az
12.1,2024-09-25 00:00:00,BC01,30.15,-98.533,1822,293.70996,302.75134,96024.06,0.3371582,0.5479126,0.030059814,5.082759493633239,265.91905989814603,-31.26584361754944,349.8645861744646
18.95,2024-09-25 01:00:00,BC01,30.15,-98.533,1822,294.40283,301.7334,96052.56,0.4836731,0.3466797,0.021270752,-7.889666455377387,273.4714307599334,-31.8893714053514,4.580292912201563
21.0175,2024-09-25 02:00:00,BC01,30.15,-98.533,1822,294.27832,300.19983,96099.875,0.6128845,0.3755188,0.007171631,-20.75350778236202,281.4569000547659,-29.38568036879544,18.8845100949641
21.025,2024-09-25 03:00:00,BC01,30.15,-98.533,1822,293.73267,299.23132,96150.875,0.011352539,0.33016968,0.06726074,-33.220484292453044,290.8546553283698,-24.10457264346032,31.66616872816953
20.915,2024-09-25 04:00:00,BC01,30.15,-98.533,1822,293.67676,298.26453,96212.69,0.14303589,0.5475464,0.23309326,-44.79929728721593,303.2005452429815,-16.633963943710476,42.49099552840077
20.85,2024-09-25 05:00:00,BC01,30.15,-98.533,1822,293.0692,296.07495,96212.875,0.014282227,0.31170654,0.0014038086,-54.484783401660856,321.0417173084152,-7.555898829716276,51.47521701975685
20.815,2024-09-25 06:00:00,BC01,30.15,-98.533,1822,292.93372,295.9353,96176.375,0.0,0.18780518,0.0,-60.27631846169459,346.960761816199,2.6688690494995124,58.96566634197746
20.685,2024-09-25 07:00:00,BC01,30.15,-98.533,1822,293.04333,295.94562,96136.06,0.0,0.12878418,0.0,-59.80506829454237,17.250503068873947,13.709609487601456,65.33576869751813
20.5975,2024-09-25 08:00:00,BC01,30.15,-98.533,1822,292.938,295.43127,96123.75,0.0,0.06732178,0.0,-53.31475827227151,42.03090541385568,25.335662309937685,70.91615911610437
20.395,2024-09-25 09:00:00,BC01,30.15,-98.533,1822,293.12952,295.242,96130.44,0.0,0.0,0.0,-43.2765727410478,58.92340347814195,37.38405009228276,75.99979171877199
19.63,2024-09-25 10:00:00,BC01,30.15,-98.533,1822,292.3911,294.52405,96092.44,0.0,0.079711914,0.0,-31.536289641917744,70.74250695896743,49.73435441967708,80.89766114595382
17.725,2024-09-25 11:00:00,BC01,30.15,-98.533,1822,292.65015,294.49,96092.19,0.0014038086,0.055755615,0.0,-19.00008754421466,79.88376541544565,62.28923191992733,86.12067618910346
13.14,2024-09-25 12:00:00,BC01,30.15,-98.533,1822,292.9065,294.48553,96116.81,0.016967773,0.04562378,0.0,-6.118564503589039,87.7779094580957,74.94536024450322,93.40585589142891
,2024-09-25 13:00:00,BC01,30.15,-98.533,1822,293.50842,295.71973,96144.69,0.0027770996,0.092559814,0.0,6.832779183136648,95.36237006166766,87.05139160406164,133.3015400212145
,2024-09-25 14:00:00,BC01,30.15,-98.533,1822,294.6825,299.12195,96203.875,0.0,0.16268921,0.0,19.61612894029735,103.44478603511432,79.10486456718716,261.8623831639673
,2024-09-25 15:00:00,BC01,30.15,-98.533,1822,294.53955,300.60388,96241.19,0.0,0.07446289,0.0,31.928443316922884,112.99349431545215,66.43639332303371,271.3690603950432
,2024-09-25 16:00:00,BC01,30.15,-98.533,1822,293.86768,301.57288,96265.19,0.0,0.038604736,0.0,43.25303150897349,125.47412301196402,53.7970564358756,276.920556651707
,2024-09-25 17:00:00,BC01,30.15,-98.533,1822,293.0121,302.86646,96253.5,0.0,0.0,0.0,52.57320041018654,143.14066281704643,41.31380806138655,281.82708110956906
,2024-09-25 18:00:00,BC01,30.15,-98.533,1822,292.04724,303.3733,96226.375,0.0,0.0,0.0,58.01107015640547,167.89159396218832,29.079248215060243,286.78432641407943
,2024-09-25 19:00:00,BC01,30.15,-98.533,1822,290.95276,303.3828,96198.56,0.0,0.0,0.0,57.52103791371472,196.20804120782304,17.201727745019955,292.13802707622983
,2024-09-25 20:00:00,BC01,30.15,-98.533,1822,289.8806,303.4546,96127.125,0.0,0.0,0.0014038086,51.32903452117611,219.8840414708604,5.824923842018654,298.18191978113896
,2024-09-25 21:00:00,BC01,30.15,-98.533,1822,289.25183,303.23535,96094.31,0.0,0.0,0.0,41.59817039880551,236.5751977331012,-4.848757430303947,305.24047977475595
,2024-09-25 22:00:00,BC01,30.15,-98.533,1822,288.36414,302.01245,96132.94,0.0,0.0,0.0,30.067055561490108,248.46735968544724,-14.52596674174342,313.6951557085383
,2024-09-25 23:00:00,BC01,30.15,-98.533,1822,287.70972,300.9176,96152.125,0.0,0.0,0.0,17.648591327403917,257.6966609839117,-22.784907106046777,323.9511804972354
11.53,2024-09-26 00:00:00,BC01,30.15,-98.533,1822,287.56946,298.97852,96175.31,0.0,0.0,0.0,4.81150181659403,265.6255902325967,-29.05748776427104,336.282255071954
19.045,2024-09-26 01:00:00,BC01,30.15,-98.533,1822,288.13916,298.03198,96233.31,0.0,0.0,0.0,-8.160367319398212,273.1756593765568,-32.6967203088926,350.5038635359883
20.945,2024-09-26 02:00:00,BC01,30.15,-98.533,1822,287.5116,295.46692,96267.06,0.0,0.0,0.0,-21.032731317078174,281.1521160773282,-33.19812382399246,5.674982076389947
20.98,2024-09-26 03:00:00,BC01,30.15,-98.533,1822,287.604,294.82324,96292.25,0.0,0.0,0.0,-33.518861454619376,290.5378381188783,-30.48004379053229,20.346196236224056
21.0725,2024-09-26 04:00:00,BC01,30.15,-98.533,1822,287.59924,294.15564,96331.94,0.0,0.0,0.0,-45.129770111428286,302.8851040134639,-24.937030630993487,33.35552876559072
21.0825,2024-09-26 05:00:00,BC01,30.15,-98.533,1822,287.35168,292.63684,96326.0,0.0,0.0,0.0,-54.858031994645096,320.79898675140083,-17.200357242107394,44.30238264939376
21.1175,2024-09-26 06:00:00,BC01,30.15,-98.533,1822,287.04517,291.964,96307.5,0.0,0.0,0.0,-60.6749905281734,346.9774451208895,-7.875288280877354,53.36481972545961
21.0,2024-09-26 07:00:00,BC01,30.15,-98.533,1822,286.98535,291.46057,96283.31,0.0,0.0,0.0,-60.15895066504136,17.617821480655877,2.570712459684916,60.94193237303515
20.9,2024-09-26 08:00:00,BC01,30.15,-98.533,1822,286.6537,290.323,96270.125,0.0,0.0,0.0,-53.58156538306446,42.52846629544219,13.807811996084885,67.44815380584996
20.7775,2024-09-26 09:00:00,BC01,30.15,-98.533,1822,286.57593,289.9729,96244.375,0.0,0.0,0.0,-43.47370394829068,59.40022723906076,25.607921268754534,73.25784577961537
20.59,2024-09-26 10:00:00,BC01,30.15,-98.533,1822,286.34265,289.5083,96238.94,0.0,0.0,0.0,-31.690454193059956,71.17429397570488,37.8089645999143,78.73490057796523
19.14,2024-09-26 11:00:00,BC01,30.15,-98.533,1822,286.52515,289.8629,96253.375,0.0,0.0,0.0,-19.130982514232205,80.28223855585972,50.28612698953968,84.34668018629964
13.37,2024-09-26 12:00:00,BC01,30.15,-98.533,1822,286.6112,290.02673,96279.94,0.0,0.0,0.0,-6.240362951932688,88.15977494845156,62.92109572655249,91.0593956836513
,2024-09-26 13:00:00,BC01,30.15,-98.533,1822,286.8026,290.2782,96306.44,0.0,0.0,0.0,6.7083182052141135,95.74380447574646,75.5022583784866,102.69075031881631
,2024-09-26 14:00:00,BC01,30.15,-98.533,1822,287.60565,293.21033,96368.875,0.0,0.0,0.0,19.477068306800625,103.84128976928932,85.6656869956389,167.1505888473577
,2024-09-26 15:00:00,BC01,30.15,-98.533,1822,287.88507,295.39868,96407.44,0.0,0.0,0.0,31.76018206392517,113.41897145295948,77.20827878089906,253.4036579641434
,2024-09-26 16:00:00,BC01,30.15,-98.533,1822,287.42236,297.4203,96412.875,0.0,0.0,0.0,43.03588290410086,125.93236341486956,64.63640064591968,266.7318719533396
,2024-09-26 17:00:00,BC01,30.15,-98.533,1822,286.80005,299.49683,96390.75,0.0,0.0,0.0,52.28376039911572,143.59027250029365,51.916868292752106,273.726888744447
