nsb,Timestamp_UTC,site,lat,lon,elev,d2m,t2m,sp,hcc,mcc,lcc,sun_alt,sun_az,moon_alt,moon_az
14.405,2024-08-22 01:00:00,HCMN,30.216,-98.083,1258,292.15027,308.79858,97854.06,0.4036255,0.15493774,0.0,0.5952141471609778,283.177507935884,-21.169249935298705,77.60633943079358
18.87,2024-08-22 02:00:00,HCMN,30.216,-98.083,1258,293.1587,306.4812,97889.06,0.3199463,0.31765747,0.0,-11.795790884345749,291.12426354857445,-8.694235033872408,85.13495283222323
19.2575,2024-08-22 03:00:00,HCMN,30.216,-98.083,1258,293.02905,305.4668,97935.75,0.2848816,0.18969727,0.0,-23.477600960873563,300.49589300004726,3.960860448718417,92.20687534910948
18.9675,2024-08-22 04:00:00,HCMN,30.216,-98.083,1258,292.98425,305.32416,97949.44,0.20843506,0.085876465,0.0,-33.93792584701068,312.295548295089,16.605561452228695,99.5244346915723
18.56,2024-08-22 05:00:00,HCMN,30.216,-98.083,1258,292.99622,303.8971,97936.875,0.087371826,0.02758789,0.0,-42.317659333830655,327.6956259260973,29.0169597312155,107.88349985701105
18.0125,2024-08-22 06:00:00,HCMN,30.216,-98.083,1258,292.6704,302.49298,97954.81,0.052490234,0.0055236816,0.0,-47.340787200670775,347.2382751330234,40.83647310533546,118.47713928282542
16.6075,2024-08-22 07:00:00,HCMN,30.216,-98.083,1258,292.33362,301.8078,97934.19,0.033966064,0.0,0.0,-47.77664632020647,9.07649754434645,51.35771908629789,133.3508462810078
15.7475,2024-08-22 08:00:00,HCMN,30.216,-98.083,1258,292.28967,300.84998,97963.19,0.01852417,0.0,0.0,-43.49519761440325,29.25473880775132,59.09363405037926,155.4912651917089
15.5725,2024-08-22 09:00:00,HCMN,30.216,-98.083,1258,292.89917,300.62653,97948.44,0.0154418945,0.0,0.0,-35.60890750372661,45.39875522960618,61.59488794729212,185.0708126741482
17.1,2024-08-22 10:00:00,HCMN,30.216,-98.083,1258,292.97778,299.31982,97970.44,0.01852417,0.22180176,0.0,-25.44400451597602,57.76116783660569,57.62326027382041,213.33618494326188
15.525,2024-08-22 11:00:00,HCMN,30.216,-98.083,1258,293.33154,298.9887,98023.94,0.0030822754,0.2255249,0.0,-13.93607273484178,67.49600707055376,49.06552649944949,233.5232137227945
,2024-08-22 12:00:00,HCMN,30.216,-98.083,1258,293.81836,299.00616,98010.56,0.0,0.074157715,0.0,-1.647746924383657,75.65315218309345,38.22100016023721,247.23845533858395
,2024-08-22 13:00:00,HCMN,30.216,-98.083,1258,294.5703,299.5666,98083.125,0.0,0.02758789,0.0,11.078896334072851,83.04970368164719,26.3454070006508,257.348875052642
,2024-08-22 14:00:00,HCMN,30.216,-98.083,1258,295.5244,302.2862,98089.75,0.0,0.067871094,0.0,24.006348412291164,90.41081452022448,14.04256789885473,265.6618989816083
,2024-08-22 15:00:00,HCMN,30.216,-98.083,1258,295.45496,304.72058,98099.06,0.0,0.0,0.0,36.9151653774897,98.6096619910658,1.6443376684371258,273.2628161094342
,2024-08-22 16:00:00,HCMN,30.216,-98.083,1258,295.2743,306.8022,98104.0,0.0,0.0014038086,0.0,49.49229889202772,109.13955517136272,-10.609674337045234,280.93489423235263
,2024-08-22 17:00:00,HCMN,30.216,-98.083,1258,294.49695,309.50928,98096.81,0.0,0.008666992,0.0,61.04474920558364,125.34034504627756,-22.47248848618751,289.4315746983608
,2024-08-22 18:00:00,HCMN,30.216,-98.083,1258,293.5476,310.87878,98051.69,0.18057251,0.025878906,0.0,69.52705622886798,154.7425663520344,-33.595162030187765,299.6940610967662
,2024-08-22 19:00:00,HCMN,30.216,-98.083,1258,292.08594,312.78552,97989.31,0.18823242,0.108947754,0.0,70.32308864903375,198.4633457724169,-43.38458208981922,313.03813338856884
,2024-08-22 20:00:00,HCMN,30.216,-98.083,1258,291.37085,314.1258,97932.625,0.2609253,0.08828735,0.0,62.74352272893166,230.87214758225983,-50.79498163164546,331.00588903037453
,2024-08-22 21:00:00,HCMN,30.216,-98.083,1258,291.4087,314.07837,97891.125,0.489563,0.19894409,0.0,51.48914168188472,248.59197346930355,-54.29480414256826,353.7933284641319
,2024-08-22 22:00:00,HCMN,30.216,-98.083,1258,291.03833,313.77258,97897.31,0.9581909,0.16265869,0.0,39.00789187959173,259.73931335821845,-52.754075159014334,17.67951342214678
,2024-08-22 23:00:00,HCMN,30.216,-98.083,1258,290.72412,313.85107,97839.44,0.95370483,0.041625977,0.0,26.1167113858444,268.18150784528217,-46.69939510096197,37.68527585410583
,2024-08-23 00:00:00,HCMN,30.216,-98.083,1258,293.37598,310.57886,97768.375,0.95703125,0.049316406,0.0,13.16178440035413,275.5978006243491,-37.6684320200544,52.60100443792094
14.86,2024-08-23 01:00:00,HCMN,30.216,-98.083,1258,293.37354,309.21375,97883.94,0.98721313,0.04864502,0.0,0.367059677424575,282.919662118698,-26.924415107629137,63.7282950210114
20.25,2024-08-23 02:00:00,HCMN,30.216,-98.083,1258,293.66943,307.70416,97940.69,1.0,0.18005371,0.0,-12.040677879222544,290.8767328685865,-15.207328361901466,72.51981041762475
20.2375,2024-08-23 03:00:00,HCMN,30.216,-98.083,1258,293.9724,306.82684,97980.81,1.0,0.20855713,0.0,-23.74616181939888,300.26030662919146,-2.92826133439669,80.02065861384166
19.455,2024-08-23 04:00:00,HCMN,30.216,-98.083,1258,294.53027,305.88336,98006.94,1.0,0.05105591,0.0,-34.2363036251444,312.0871558078767,9.662827100930734,86.98627147039147
19.0125,2024-08-23 05:00:00,HCMN,30.216,-98.083,1258,294.96704,304.3769,98054.56,1.0,0.011413574,0.0,-42.6466782766658,327.55564862089216,22.37787291958411,94.0845921072578
18.545,2024-08-23 06:00:00,HCMN,30.216,-98.083,1258,295.7666,303.60043,98070.56,1.0,0.0,0.0,-47.685746395860775,347.2340551407357,35.01780977861337,102.13024915985558
17.82,2024-08-23 07:00:00,HCMN,30.216,-98.083,1258,296.13184,303.18777,98076.5,1.0,0.05105591,0.0030822754,-48.10327831088122,9.242802647291883,47.27125679988432,112.48974867069924
16.01,2024-08-23 08:00:00,HCMN,30.216,-98.083,1258,295.87354,302.38068,98081.81,1.0,0.0055236816,0.010009766,-43.7730375749778,29.537902147231847,58.461943321063394,128.00543801363503
