nsb,Timestamp_UTC,site,lat,lon,elev,sun_alt,sun_az,moon_alt,moon_az,d2m,t2m,sp,hcc,mcc,lcc
10.37,2023-09-24 17:00:00,Jub,29.966,-98.083,1069,53.45586650746201,142.8178350470748,-54.36881515951823,94.08276774570136,294.8438,307.38977,98040.75,0.011993408,0.064971924,0.0
,2023-09-24 18:00:00,Jub,29.966,-98.083,1069,58.91568221807709,168.14634450872032,-42.11944963091183,99.50967858609316,294.3678,308.9336,97980.06,0.0,0.095458984,0.0
,2023-09-24 19:00:00,Jub,29.966,-98.083,1069,58.286066214907,197.1464067365037,-30.016620496687743,104.72805901054076,294.04492,309.97375,97908.25,0.0,0.0345459,0.0
,2023-09-24 20:00:00,Jub,29.966,-98.083,1069,51.86928323647379,221.04325811809815,-18.160586237854183,110.21155732757508,293.81934,310.77728,97813.375,0.08047485,0.05596924,0.0
,2023-09-24 21:00:00,Jub,29.966,-98.083,1069,41.95382119436911,237.64928940966408,-6.6886771943872345,116.3119867633906,293.406,311.79553,97788.44,0.32141113,0.07196045,0.017974854
,2023-09-24 22:00:00,Jub,29.966,-98.083,1069,30.2986807653702,249.4057065794711,4.197469648740764,123.39274803581026,294.10437,310.04626,97687.875,0.71902466,0.13708496,0.0
,2023-09-24 23:00:00,Jub,29.966,-98.083,1069,17.800804566024485,258.5254528207511,14.195645352795776,131.8786594639943,293.8545,310.57056,97787.75,0.7705078,0.052490234,0.0
12.31,2023-09-25 00:00:00,Jub,29.966,-98.083,1069,4.915162640764398,266.3817918886298,22.857988008696616,142.2406015375739,293.7799,308.99512,97735.69,0.90649414,0.051483154,0.0
17.245,2023-09-25 01:00:00,Jub,29.966,-98.083,1069,-8.081608083394974,273.8949508211843,29.56055630209289,154.84545375589585,295.41846,305.17236,97839.75,0.81954956,0.07952881,0.022033691
18.0125,2023-09-25 02:00:00,Jub,29.966,-98.083,1069,-20.95692984853296,281.8701372668564,33.562758800465566,169.5857463118381,295.6145,303.99512,97914.19,0.6930237,0.08996582,0.029968262
18.2525,2023-09-25 03:00:00,Jub,29.966,-98.083,1069,-33.420329359765375,291.29352736200923,34.256318451338856,185.47591986789837,295.3036,302.2494,97992.0,0.6819763,0.015014648,0.0
18.56,2023-09-25 04:00:00,Jub,29.966,-98.083,1069,-44.97196856522581,303.7176907480326,31.51653235460641,200.8763727525688,295.59375,301.15833,98081.06,0.1529541,0.052490234,0.0
18.525,2023-09-25 05:00:00,Jub,29.966,-98.083,1069,-54.58676553134861,321.7047632557262,25.78945037022369,214.4563412665681,296.25256,300.08478,98093.56,0.081451416,0.058502197,0.011993408
18.81,2023-09-25 06:00:00,Jub,29.966,-98.083,1069,-60.23957774954995,347.75424882158603,17.80173746457021,225.78913926510884,296.5746,299.86273,98100.81,0.012054443,0.010040283,0.0335083
18.865,2023-09-25 07:00:00,Jub,29.966,-98.083,1069,-59.59776401055776,17.920270820912535,8.239936208502748,235.11591938456905,296.79315,299.84912,98114.5,0.019592285,0.0025024414,0.011993408
18.7225,2023-09-25 08:00:00,Jub,29.966,-98.083,1069,-52.99119439095956,42.426420891338005,-2.377422517793172,242.9112953913933,296.48907,299.59674,98119.94,0.022613525,0.0,0.028503418
18.6325,2023-09-25 09:00:00,Jub,29.966,-98.083,1069,-42.89252615058048,59.121300776988186,-13.693001807152042,249.6541077331298,296.52625,299.97375,98093.125,0.015075684,0.0,0.015075684
18.7525,2023-09-25 10:00:00,Jub,29.966,-98.083,1069,-31.11712319274108,70.8235863192583,-25.465636326130223,255.7809998498796,296.01978,298.8396,98093.31,0.28250122,0.20443726,0.055511475
