nsb,Timestamp_UTC,Timestamp_local
16.4375,2024-07-04 02:00:00,2024-07-03 21:00:00
20.195,2024-07-04 03:00:00,2024-07-03 22:00:00
20.255000000000003,2024-07-04 04:00:00,2024-07-03 23:00:00
20.265,2024-07-04 05:00:00,2024-07-04 00:00:00
20.3125,2024-07-04 06:00:00,2024-07-04 01:00:00
20.357499999999998,2024-07-04 07:00:00,2024-07-04 02:00:00
20.4475,2024-07-04 08:00:00,2024-07-04 03:00:00
20.1025,2024-07-04 09:00:00,2024-07-04 04:00:00
19.3625,2024-07-04 10:00:00,2024-07-04 05:00:00
13.14,2024-07-04 11:00:00,2024-07-04 06:00:00
16.567500000000003,2024-07-05 02:00:00,2024-07-04 21:00:00
20.21,2024-07-05 03:00:00,2024-07-04 22:00:00
20.295,2024-07-05 04:00:00,2024-07-04 23:00:00
20.3075,2024-07-05 05:00:00,2024-07-05 00:00:00
20.265,2024-07-05 06:00:00,2024-07-05 01:00:00
20.087500000000002,2024-07-05 07:00:00,2024-07-05 02:00:00
19.785,2024-07-05 08:00:00,2024-07-05 03:00:00
19.8625,2024-07-05 09:00:00,2024-07-05 04:00:00
19.174999999999997,2024-07-05 10:00:00,2024-07-05 05:00:00
13.7,2024-07-05 11:00:00,2024-07-05 06:00:00
16.560000000000002,2024-07-06 02:00:00,2024-07-05 21:00:00
20.22,2024-07-06 03:00:00,2024-07-05 22:00:00
20.285,2024-07-06 04:00:00,2024-07-05 23:00:00
20.295,2024-07-06 05:00:00,2024-07-06 00:00:00
20.2725,2024-07-06 06:00:00,2024-07-06 01:00:00
20.28,2024-07-06 07:00:00,2024-07-06 02:00:00
20.3175,2024-07-06 08:00:00,2024-07-06 03:00:00
20.16,2024-07-06 09:00:00,2024-07-06 04:00:00
19.62,2024-07-06 10:00:00,2024-07-06 05:00:00
13.469999999999999,2024-07-06 11:00:00,2024-07-06 06:00:00
16.2175,2024-07-07 02:00:00,2024-07-06 21:00:00
18.369999999999997,2024-07-07 03:00:00,2024-07-06 22:00:00
18.4575,2024-07-07 04:00:00,2024-07-06 23:00:00
18.4075,2024-07-07 05:00:00,2024-07-07 00:00:00
19.48,2024-07-07 06:00:00,2024-07-07 01:00:00
19.1375,2024-07-07 07:00:00,2024-07-07 02:00:00
19.060000000000002,2024-07-07 08:00:00,2024-07-07 03:00:00
19.5375,2024-07-07 09:00:00,2024-07-07 04:00:00
19.17,2024-07-07 10:00:00,2024-07-07 05:00:00
13.495000000000001,2024-07-07 11:00:00,2024-07-07 06:00:00
16.485,2024-07-08 02:00:00,2024-07-07 21:00:00
19.97,2024-07-08 03:00:00,2024-07-07 22:00:00
20.13,2024-07-08 04:00:00,2024-07-07 23:00:00
20.4025,2024-07-08 05:00:00,2024-07-08 00:00:00
19.83,2024-07-08 06:00:00,2024-07-08 01:00:00
19.880000000000003,2024-07-08 07:00:00,2024-07-08 02:00:00
19.72,2024-07-08 08:00:00,2024-07-08 03:00:00
19.735000000000003,2024-07-08 09:00:00,2024-07-08 04:00:00
19.3625,2024-07-08 10:00:00,2024-07-08 05:00:00
13.855,2024-07-08 11:00:00,2024-07-08 06:00:00
16.415,2024-07-09 02:00:00,2024-07-08 21:00:00
19.9225,2024-07-09 03:00:00,2024-07-08 22:00:00
19.725,2024-07-09 04:00:00,2024-07-08 23:00:00
20.09,2024-07-09 05:00:00,2024-07-09 00:00:00
20.0075,2024-07-09 06:00:00,2024-07-09 01:00:00
20.0375,2024-07-09 07:00:00,2024-07-09 02:00:00
20.1575,2024-07-09 08:00:00,2024-07-09 03:00:00
20.2275,2024-07-09 09:00:00,2024-07-09 04:00:00
19.6475,2024-07-09 10:00:00,2024-07-09 05:00:00
13.83,2024-07-09 11:00:00,2024-07-09 06:00:00
15.9075,2024-07-10 02:00:00,2024-07-09 21:00:00
18.225,2024-07-10 03:00:00,2024-07-09 22:00:00
19.875,2024-07-10 04:00:00,2024-07-09 23:00:00
19.4175,2024-07-10 05:00:00,2024-07-10 00:00:00
18.8675,2024-07-10 06:00:00,2024-07-10 01:00:00
19.1575,2024-07-10 07:00:00,2024-07-10 02:00:00
19.634999999999998,2024-07-10 08:00:00,2024-07-10 03:00:00
19.6,2024-07-10 09:00:00,2024-07-10 04:00:00
19.5425,2024-07-10 10:00:00,2024-07-10 05:00:00
13.845,2024-07-10 11:00:00,2024-07-10 06:00:00
16.6875,2024-07-11 02:00:00,2024-07-10 21:00:00
20.119999999999997,2024-07-11 03:00:00,2024-07-10 22:00:00
19.8975,2024-07-11 04:00:00,2024-07-10 23:00:00
19.7075,2024-07-11 05:00:00,2024-07-11 00:00:00
19.667499999999997,2024-07-11 06:00:00,2024-07-11 01:00:00
19.732499999999998,2024-07-11 07:00:00,2024-07-11 02:00:00
20.0625,2024-07-11 08:00:00,2024-07-11 03:00:00
20.3225,2024-07-11 09:00:00,2024-07-11 04:00:00
19.75,2024-07-11 10:00:00,2024-07-11 05:00:00
14.04,2024-07-11 11:00:00,2024-07-11 06:00:00
16.5075,2024-07-12 02:00:00,2024-07-11 21:00:00
19.7575,2024-07-12 03:00:00,2024-07-11 22:00:00
19.3525,2024-07-12 04:00:00,2024-07-11 23:00:00
19.8475,2024-07-12 05:00:00,2024-07-12 00:00:00
19.7375,2024-07-12 06:00:00,2024-07-12 01:00:00
19.65,2024-07-12 07:00:00,2024-07-12 02:00:00
20.2225,2024-07-12 08:00:00,2024-07-12 03:00:00
20.3025,2024-07-12 09:00:00,2024-07-12 04:00:00
19.82,2024-07-12 10:00:00,2024-07-12 05:00:00
14.265,2024-07-12 11:00:00,2024-07-12 06:00:00
16.427500000000002,2024-07-13 02:00:00,2024-07-12 21:00:00
19.4925,2024-07-13 03:00:00,2024-07-12 22:00:00
19.572499999999998,2024-07-13 04:00:00,2024-07-12 23:00:00
19.9775,2024-07-13 05:00:00,2024-07-13 00:00:00
19.932499999999997,2024-07-13 06:00:00,2024-07-13 01:00:00
19.9025,2024-07-13 07:00:00,2024-07-13 02:00:00
19.5875,2024-07-13 08:00:00,2024-07-13 03:00:00
19.7675,2024-07-13 09:00:00,2024-07-13 04:00:00
18.9275,2024-07-13 10:00:00,2024-07-13 05:00:00
14.085,2024-07-13 11:00:00,2024-07-13 06:00:00
16.3,2024-07-14 02:00:00,2024-07-13 21:00:00
18.5325,2024-07-14 03:00:00,2024-07-13 22:00:00
18.475,2024-07-14 04:00:00,2024-07-13 23:00:00
19.39,2024-07-14 05:00:00,2024-07-14 00:00:00
19.55,2024-07-14 06:00:00,2024-07-14 01:00:00
19.627499999999998,2024-07-14 07:00:00,2024-07-14 02:00:00
19.3125,2024-07-14 08:00:00,2024-07-14 03:00:00
18.96,2024-07-14 09:00:00,2024-07-14 04:00:00
18.6875,2024-07-14 10:00:00,2024-07-14 05:00:00
13.423333333333332,2024-07-14 11:00:00,2024-07-14 06:00:00
16.73,2024-07-15 02:00:00,2024-07-14 21:00:00
19.445,2024-07-15 03:00:00,2024-07-14 22:00:00
19.58,2024-07-15 04:00:00,2024-07-14 23:00:00
19.740000000000002,2024-07-15 05:00:00,2024-07-15 00:00:00
20.0175,2024-07-15 06:00:00,2024-07-15 01:00:00
20.169999999999998,2024-07-15 07:00:00,2024-07-15 02:00:00
20.080000000000002,2024-07-15 08:00:00,2024-07-15 03:00:00
20.2275,2024-07-15 09:00:00,2024-07-15 04:00:00
19.9025,2024-07-15 10:00:00,2024-07-15 05:00:00
14.635000000000002,2024-07-15 11:00:00,2024-07-15 06:00:00
16.7025,2024-07-16 02:00:00,2024-07-15 21:00:00
19.275,2024-07-16 03:00:00,2024-07-15 22:00:00
19.405,2024-07-16 04:00:00,2024-07-15 23:00:00
19.542500000000004,2024-07-16 05:00:00,2024-07-16 00:00:00
