nsb,Timestamp_UTC,site,lat,lon,elev,d2m,t2m,sp,hcc,mcc,lcc,sun_alt,sun_az,moon_alt,moon_az
0.0,2024-08-23 22:00:00,WODC,30.333,-98.133,1395,294.0315,309.59985,97188.375,1.0,0.1232605,0.0,38.80159356847482,259.2778402398248,-47.46655757344016,357.85537622694625
0.0,2024-08-23 23:00:00,WODC,30.333,-98.133,1395,294.44788,307.03955,97275.125,1.0,0.15765381,0.0,25.935879630578075,267.79926659093377,-45.49305104663675,17.948787115620746
3.23,2024-08-24 00:00:00,WODC,30.333,-98.133,1395,294.338,304.94666,97315.375,1.0,0.15649414,0.0,12.993909763759348,275.2720365372931,-39.69179558240669,35.21226201947335
13.5425,2024-08-24 01:00:00,WODC,30.333,-98.133,1395,294.77002,302.01147,97369.875,0.99346924,0.030212402,0.0,0.2035123368124908,282.6346848525359,-31.178048326338303,48.80336414776835
18.58833333,2024-08-24 02:00:00,WODC,30.333,-98.133,1395,295.37366,300.26282,97390.125,0.9985962,0.044647217,0.0,-12.206951086660707,290.62256011641887,-20.94142631980533,59.394660424023954
18.91916667,2024-08-24 03:00:00,WODC,30.333,-98.133,1395,295.65045,299.95898,97409.56,0.99346924,0.031829834,0.0,-23.92178446814202,300.0327839789423,-9.63497593590375,67.9452229627324
18.62,2024-08-24 04:00:00,WODC,30.333,-98.133,1395,295.86957,299.67383,97463.69,0.99346924,0.023468018,0.0,-34.427542066770144,311.8914198062012,2.3434815519583885,75.25360991357033
18.525,2024-08-24 05:00:00,WODC,30.333,-98.133,1395,296.1776,299.02673,97452.25,0.996521,0.006958008,0.0,-42.85719752784357,327.41402698297804,14.743084621705409,81.95352979379788
18.4175,2024-08-24 06:00:00,WODC,30.333,-98.133,1395,296.50153,299.06213,97450.0,0.9951172,0.0,0.0,-47.91033888174636,347.18843231559225,27.383486422495334,88.63643052533475
18.38416667,2024-08-24 07:00:00,WODC,30.333,-98.133,1395,296.62372,298.84845,97445.94,0.9985962,0.0,0.0,-48.323942542510224,9.32004634968997,40.09584315055804,96.0581917706415
17.98,2024-08-24 08:00:00,WODC,30.333,-98.133,1395,296.67593,298.57843,97455.25,0.9985962,0.0,0.008605957,-43.97192381797483,29.71028869479721,52.64063549340919,105.60789408778402
17.30333333,2024-08-24 09:00:00,WODC,30.333,-98.133,1395,296.51395,298.34863,97449.125,0.99346924,0.0,0.02722168,-36.00493591611971,45.946184502727625,64.46690155503941,120.80051010580306
16.38583333,2024-08-24 10:00:00,WODC,30.333,-98.133,1395,295.87518,297.73505,97487.94,0.98349,0.0,0.26437378,-25.774035768821005,58.338932222912064,73.62855024599283,152.04552600694683
14.38,2024-08-24 11:00:00,WODC,30.333,-98.133,1395,295.78015,297.43445,97492.56,0.71481323,0.0,0.5583801,-14.220006924970113,68.09111185392996,74.26759612994749,204.8941191709324
3.585,2024-08-24 12:00:00,WODC,30.333,-98.133,1395,295.78534,297.53827,97545.56,0.17507935,0.005126953,0.3345642,-1.90398057017554,76.2755226913944,65.73491443416296,238.994871984714
0.0,2024-08-24 13:00:00,WODC,30.333,-98.133,1395,295.9666,298.02484,97587.44,0.051605225,0.034423828,0.1828003,10.83335054827571,83.72092778008013,54.15234696729058,255.3217719840938
0.0,2024-08-24 14:00:00,WODC,30.333,-98.133,1395,296.3703,300.0603,97624.06,0.03302002,0.010223389,0.19281006,23.753351706911797,91.1627889922558,41.79502974660701,265.3670257751305
0.0,2024-08-24 15:00:00,WODC,30.333,-98.133,1395,295.4944,302.19006,97631.0,0.018829346,0.030700684,0.20510864,36.63101798914014,99.488404012499,29.292837241304163,273.0933196651747
0.0,2024-08-24 16:00:00,WODC,30.333,-98.133,1395,294.9272,303.52167,97673.81,0.003479004,0.14422607,0.22399902,49.13925857927134,110.2076948538475,16.914296504310855,280.023487705623
0.0,2024-08-24 17:00:00,WODC,30.333,-98.133,1395,293.75366,305.93732,97616.0,0.0,0.20230103,0.111206055,60.5552782255612,126.62725927744934,4.8488954475062425,286.95610565775286
0.0,2024-08-24 18:00:00,WODC,30.333,-98.133,1395,293.07495,307.11072,97556.25,0.0,0.18395996,0.10043335,68.81560755955508,155.79702493066506,-6.701584187984643,294.4832364685134
0.0,2024-08-24 19:00:00,WODC,30.333,-98.133,1395,292.72162,307.41815,97496.25,0.0014038086,0.30581665,0.11904907,69.53140025701566,198.0471697539739,-17.464010233065423,303.1917476763226
0.0,2024-08-24 20:00:00,WODC,30.333,-98.133,1395,291.94293,308.58917,97443.125,0.0,0.23910522,0.025817871,62.10893344761611,229.830665252451,-27.028640807614018,313.7438887557644
0.0,2024-08-24 21:00:00,WODC,30.333,-98.133,1395,291.3816,308.6101,97385.19,0.005584717,0.19137573,0.016021729,50.98197436473024,247.64116782391883,-34.7777212751708,326.80654773485946
0.0,2024-08-24 22:00:00,WODC,30.333,-98.133,1395,290.21948,308.76746,97330.81,0.008361816,0.053710938,0.0,38.569778018719816,258.94121570582433,-39.87500754162685,342.6495234253572
0.0,2024-08-24 23:00:00,WODC,30.333,-98.133,1395,289.59943,308.44147,97284.625,0.021392822,0.049072266,0.0,25.71209060759556,267.49953279572406,-41.48827711060267,0.4050711633564952
1.570833333,2024-08-25 00:00:00,WODC,30.333,-98.133,1395,289.3794,307.93762,97345.625,0.09182739,0.0,0.0,12.768420433177802,274.9965536879252,-39.288741939505584,17.950340844531794
12.81,2024-08-25 01:00:00,WODC,30.333,-98.133,1395,289.7682,306.61554,97328.75,0.004180908,0.020690918,0.0,-0.0313044271061303,282.37407765533453,-33.71991777478952,33.29977404640002
20.65666667,2024-08-25 02:00:00,WODC,30.333,-98.133,1395,290.80212,304.3255,97392.0,0.07696533,0.008605957,0.0,-12.4581675368391,290.3717513264334,-25.644290591180308,45.80343327228538
20.78333333,2024-08-25 03:00:00,WODC,30.333,-98.133,1395,291.85547,303.2755,97454.06,0.0,0.03768921,0.015594482,-24.196554621746326,299.7935093748263,-15.868596257709418,55.827535618634
20.61083333,2024-08-25 04:00:00,WODC,30.333,-98.133,1395,292.60278,302.3095,97533.75,0.0,0.010009766,0.017211914,-34.73225885011632,311.6793952486075,-4.97047201628989,64.03263712020102
20.1575,2024-08-25 05:00:00,WODC,30.333,-98.133,1395,293.12048,300.48627,97548.44,0.0,0.035125732,0.017211914,-43.19284703149985,327.27215973951803,6.673318938959786,71.03202375443891
19.905,2024-08-25 06:00:00,WODC,30.333,-98.133,1395,293.5758,299.37585,97541.31,0.0,0.01651001,0.01373291,-48.26177573657033,347.1875306977607,18.817104850916465,77.34137138778595
19.61333333,2024-08-25 07:00:00,WODC,30.333,-98.133,1395,293.75684,298.8319,97512.0,0.0014038086,0.0,0.008605957,-48.65555178150088,9.496237850452664,31.2893103844234,83.4475467244014
19.06333333,2024-08-25 08:00:00,WODC,30.333,-98.133,1395,293.8733,297.81427,97491.125,0.0,0.0,0.005126953,-44.25249549997756,30.005655727611742,43.94869778148338,89.96859104449467
